IPO Name,GMP,GMP %,GMP Down,GMP Up,Subscription,IPO Price,IPO Size,Lot Size,Open,Close,BOA Date,Listing Date,Updated,Anchor,Estimated Listing Price,Calculated GMP %,Rating,Raw GMP,Raw Price,Scraped At
Paluck Technologies BSE SMEO,25.0,52.08,10.0,25.0,7.09,48.0,₹33.00 Cr,3000.0,28-Aug GMP: 25,1-Sep,2-Sep,4-Sep,28-Aug 12:32,✅,73.0,52.08,🔥🔥🔥🔥🔥,₹25 (52.08%) 10 ↓ / 25 ↑,48,2026-08-28 07:21:53
Phychem Technologies BSE SMEU,3.0,5.56,3.0,3.0,,54.0,₹14.58 Cr,2000.0,31-Aug,2-Sep,3-Sep,7-Sep,28-Aug 12:33,✅,57.0,5.56,🔥🔥,₹3 (5.56%) 3 ↓ / 3 ↑,54,2026-08-28 07:21:53
Priority Jewels IPOO,37.0,18.5,20.0,37.0,0.89,200.0,₹91.50 Cr,75.0,28-Aug GMP: 37,1-Sep,2-Sep,4-Sep,28-Aug 12:33,✅,237.0,18.5,🔥🔥🔥,₹37 (18.50%) 20 ↓ / 37 ↑,200,2026-08-28 07:21:53
Purple Style Labs IPOU,0.0,0.0,0.0,0.0,,575.0,₹680.00 Cr,26.0,31-Aug,2-Sep,3-Sep,7-Sep,28-Aug 12:29,✅,575.0,0.0,🔥,₹-- (0.00%) 0 ↓ / 0 ↑,575,2026-08-28 07:21:53
Rays of Belief IPOU,5.0,2.09,5.0,18.0,,239.0,₹125.00 Cr,62.0,1-Sep,3-Sep,4-Sep,8-Sep,28-Aug 12:29,✅,244.0,2.09,🔥,₹5 (2.09%) 5 ↓ / 18 ↑,239,2026-08-28 07:21:53
Shankesh Jewellers IPOL@103.30 (11.08%),2.75,2.96,1.0,8.0,2.8,93.0,₹367.18 Cr,160.0,18-Aug GMP: 5,20-Aug GMP: 5,21-Aug,25-Aug GMP: 2.75,25-Aug 9:36,✅,95.75,2.96,🔥,₹2.75 (2.96%) 1 ↓ / 8 ↑,93,2026-08-28 07:21:53
Shanti Inorganics NSE SMEU,31.0,37.35,25.0,31.0,,83.0,₹47.24 Cr,1600.0,31-Aug,2-Sep,3-Sep,7-Sep,28-Aug 12:30,✅,114.0,37.35,🔥🔥🔥🔥,₹31 (37.35%) 25 ↓ / 31 ↑,83,2026-08-28 07:21:53
Skyways Air IPOC,44.0,31.88,19.0,50.0,71.25,138.0,₹582.80 Cr,100.0,24-Aug GMP: 32,27-Aug GMP: 44,28-Aug,1-Sep,28-Aug 12:37,✅,182.0,31.88,🔥🔥🔥🔥,₹44 (31.88%) 19 ↓ / 50 ↑,138,2026-08-28 07:21:53
Sumax Engineering NSE SMECT,35.0,34.65,20.0,35.0,61.84,101.0,₹53.40 Cr,1200.0,25-Aug GMP: 35,28-Aug GMP: 35,31-Aug,2-Sep,28-Aug 12:33,✅,136.0,34.65,🔥🔥🔥🔥,₹35 (34.65%) 20 ↓ / 35 ↑,101,2026-08-28 07:21:53
Sunshine Pictures IPOL@395.90 (9.97%),50.0,13.89,17.0,80.0,105.81,360.0,₹282.14 Cr,41.0,18-Aug GMP: 77,20-Aug GMP: 80,21-Aug,25-Aug GMP: 50,25-Aug 9:30,✅,410.0,13.89,🔥🔥🔥,₹50 (13.89%) 17 ↓ / 80 ↑,360,2026-08-28 07:21:53
Symbiotec Pharmalab IPOC,270.0,27.33,220.0,410.0,75.08,988.0,₹1757.00 Cr,15.0,24-Aug GMP: 335,27-Aug GMP: 270,28-Aug,1-Sep,28-Aug 12:32,✅,1258.0,27.33,🔥🔥🔥🔥,₹270 (27.33%) 220 ↓ / 410 ↑,988,2026-08-28 07:21:53
Tempsens Instruments (India) IPOL@634.00 (111.33%),330.0,110.0,65.0,330.0,184.22,300.0,₹650.00 Cr,50.0,20-Aug GMP: 270,24-Aug GMP: 313,25-Aug,28-Aug GMP: 330,28-Aug 9:35,✅,630.0,110.0,🔥🔥🔥🔥🔥,₹330 (110.00%) 65 ↓ / 330 ↑,300,2026-08-28 07:21:53
