IPO Name,GMP,GMP %,GMP Down,GMP Up,Subscription,IPO Price,IPO Size,Lot Size,Open,Close,BOA Date,Listing Date,Updated,Anchor,Estimated Listing Price,Calculated GMP %,Rating,Raw GMP,Raw Price
Madhur Knit NSE SMEC,2.0,2.0,2.0,16.0,1.5x,100.0,₹53.27 Cr,1200.0,"24-Aug
GMP: 16","27-Aug
GMP: 2",28-Aug,1-Sep,28-Aug 11:36,✅,102.0,2.0,🔥,"₹2 (2.00%)
2 ↓ / 16 ↑",100
Symbiotec Pharmalab IPOC,270.0,27.33,220.0,410.0,75.08x,988.0,₹1757.00 Cr,15.0,"24-Aug
GMP: 335","27-Aug
GMP: 270",28-Aug,1-Sep,28-Aug 11:31,✅,1258.0,27.33,🔥🔥🔥🔥,"₹270 (27.33%)
220 ↓ / 410 ↑",988
ABH Healthcare NSE SMEC,0.0,0.0,0.0,0.0,1.44x,102.0,₹34.98 Cr,1200.0,"24-Aug
GMP: 0","27-Aug
GMP: 0",28-Aug,1-Sep,28-Aug 11:33,❌,102.0,0.0,🔥,"₹-- (0.00%)
0 ↓ / 0 ↑",102
Skyways Air IPOC,44.0,31.88,19.0,50.0,71.25x,138.0,₹582.80 Cr,100.0,"24-Aug
GMP: 32","27-Aug
GMP: 44",28-Aug,1-Sep,28-Aug 11:29,✅,182.0,31.88,🔥🔥🔥🔥,"₹44 (31.88%)
19 ↓ / 50 ↑",138
Hy-Tech Engineers IPOC,45.0,84.91,5.0,45.0,247.39x,53.0,₹135.73 Cr,283.0,"24-Aug
GMP: 30","27-Aug
GMP: 45",28-Aug,1-Sep,28-Aug 11:33,✅,98.0,84.91,🔥🔥🔥🔥🔥,"₹45 (84.91%)
5 ↓ / 45 ↑",53
Augmont Enterprises IPOCALLOTTED,285.0,36.17,190.0,395.0,111.18x,788.0,₹825.00 Cr,19.0,"21-Aug
GMP: 310","25-Aug
GMP: 315",27-Aug,31-Aug,28-Aug 11:35,✅,1073.0,36.17,🔥🔥🔥🔥,"₹285 (36.17%)
190 ↓ / 395 ↑",788
Fascinate Textiles NSE SMECALLOTTED,0.0,0.0,0.0,0.0,1.48x,151.0,₹64.83 Cr,800.0,"11-Aug
GMP: 0","19-Aug
GMP: 0",20-Aug,"24-Aug
GMP: 0",28-Aug 5:55,❌,151.0,0.0,🔥,"₹-- (0.00%)
0 ↓ / 0 ↑",151
Tempsens Instruments (India) IPOL@634.00 (111.33%),330.0,110.0,65.0,330.0,184.22x,300.0,₹650.00 Cr,50.0,"20-Aug
GMP: 270","24-Aug
GMP: 313",25-Aug,"28-Aug
GMP: 330",28-Aug 9:35,✅,630.0,110.0,🔥🔥🔥🔥🔥,"₹330 (110.00%)
65 ↓ / 330 ↑",300
Dhanwel Hybrid Seeds BSE SMEL@99.00 (0%),1.0,1.01,1.0,12.0,1.65x,99.0,₹26.73 Cr,1200.0,"19-Aug
GMP: 12","21-Aug
GMP: 1",24-Aug,"26-Aug
GMP: 1",26-Aug 9:37,❌,100.0,1.01,🔥,"₹1 (1.01%)
1 ↓ / 12 ↑",99
Gaja Alternative Asset Management IPOL@185.00 (15.62%),18.5,11.56,7.0,30.0,32.98x,160.0,₹550.00 Cr,93.0,"19-Aug
GMP: 23","21-Aug
GMP: 19",24-Aug,"26-Aug
GMP: 18.5",26-Aug 9:34,✅,178.5,11.56,🔥🔥🔥,"₹18.5 (11.56%)
7 ↓ / 30 ↑",160
Mopshop Distribution BSE SMEL@137.00 (-0.72%),1.0,0.72,1.0,22.0,1.59x,138.0,₹27.26 Cr,1000.0,"19-Aug
GMP: 5","21-Aug
GMP: 1",24-Aug,"26-Aug
GMP: 1",26-Aug 9:28,❌,139.0,0.72,🔥,"₹1 (0.72%)
1 ↓ / 22 ↑",138
Sunshine Pictures IPOL@395.90 (9.97%),50.0,13.89,17.0,80.0,105.81x,360.0,₹282.14 Cr,41.0,"18-Aug
GMP: 77","20-Aug
GMP: 80",21-Aug,"25-Aug
GMP: 50",25-Aug 9:30,✅,410.0,13.89,🔥🔥🔥,"₹50 (13.89%)
17 ↓ / 80 ↑",360
Shankesh Jewellers IPOL@103.30 (11.08%),2.75,2.96,1.0,8.0,2.8x,93.0,₹367.18 Cr,160.0,"18-Aug
GMP: 5","20-Aug
GMP: 5",21-Aug,"25-Aug
GMP: 2.75",25-Aug 9:36,✅,95.75,2.96,🔥,"₹2.75 (2.96%)
1 ↓ / 8 ↑",93
Lalithaa Jewellery Mart IPOL@265.00 (31.84%),74.0,36.82,17.0,77.0,66.63x,201.0,₹1700.00 Cr,74.0,"17-Aug
GMP: 30","19-Aug
GMP: 54",20-Aug,"24-Aug
GMP: 74",24-Aug 9:33,✅,275.0,36.82,🔥🔥🔥🔥,"₹74 (36.82%)
17 ↓ / 77 ↑",201
Horizon Industrial Parks IPOL@60.25 (0.42%),1.5,2.5,1.0,4.5,1.52x,60.0,₹2600.04 Cr,250.0,"17-Aug
GMP: 1.7","19-Aug
GMP: 1.3",20-Aug,"24-Aug
GMP: 1.5",24-Aug 9:37,✅,61.5,2.5,🔥,"₹1.5 (2.50%)
1 ↓ / 4.50 ↑",60
